Timestamp, Canal_0, Canal_1
2025-08-28 15:34:37.359, 0.000000, 0.000000
2025-08-28 15:34:37.361, 0.000000, 0.000000
2025-08-28 15:34:37.363, 0.000000, 0.000000
2025-08-28 15:34:37.365, 0.000610, 0.000000
2025-08-28 15:34:37.367, 0.000153, 0.000000
2025-08-28 15:34:37.369, 0.000000, 0.000000
2025-08-28 15:34:37.371, 0.000000, 0.000000
2025-08-28 15:34:37.373, 0.000000, 0.000000
2025-08-28 15:34:37.375, 0.000000, 0.000000
2025-08-28 15:34:37.377, 0.000153, 0.000000
2025-08-28 15:34:37.379, 0.000610, 0.000000
2025-08-28 15:34:37.381, 0.000000, 0.000000
2025-08-28 15:34:37.383, 0.000000, 0.000000
2025-08-28 15:34:37.385, 0.000000, 0.000000
2025-08-28 15:34:37.387, 0.000610, 0.000000
2025-08-28 15:34:37.389, 0.001526, 0.000000
2025-08-28 15:34:37.391, 0.000000, 0.000000
2025-08-28 15:34:37.393, 0.000000, 0.000000
2025-08-28 15:34:37.395, 0.000458, 0.000000
2025-08-28 15:34:37.397, 0.000458, 0.000000
2025-08-28 15:34:37.399, 0.001068, 0.000000
2025-08-28 15:34:37.401, 0.000000, 0.000000
2025-08-28 15:34:37.403, 0.000000, 0.000000
2025-08-28 15:34:37.405, 0.000000, 0.000000
2025-08-28 15:34:37.407, 0.000000, 0.000000
2025-08-28 15:34:37.409, 0.000000, 0.000000
2025-08-28 15:34:37.411, 0.000610, 0.000000
2025-08-28 15:34:37.413, 0.000000, 0.000000
2025-08-28 15:34:37.415, 0.000153, 0.000000
2025-08-28 15:34:37.417, 0.000763, 0.000000
2025-08-28 15:34:37.419, 0.001526, 0.000000
2025-08-28 15:34:37.421, 0.000000, 0.000000
2025-08-28 15:34:37.423, 0.000000, 0.000000
2025-08-28 15:34:37.425, 0.000000, 0.000000
2025-08-28 15:34:37.427, 0.000610, 0.000000
2025-08-28 15:34:37.429, 0.000763, 0.000000
2025-08-28 15:34:37.431, 0.000305, 0.000000
2025-08-28 15:34:37.433, 0.003052, 0.000000
2025-08-28 15:34:37.435, 0.000000, 0.000000
2025-08-28 15:34:37.437, 0.000000, 0.000000
