Timestamp, Canal_0, Canal_1
2025-08-31 23:16:38.975, -0.327148, 4.504395
2025-08-31 23:16:39.175, -0.087891, 4.992676
2025-08-31 23:16:39.375, -0.676270, 4.553223
2025-08-31 23:16:39.575, -0.625000, 4.763184
2025-08-31 23:16:39.775, -0.615234, 4.953613
2025-08-31 23:16:39.975, -0.495605, 4.804688
2025-08-31 23:16:40.175, -0.646973, 4.523926
2025-08-31 23:16:40.375, -0.148926, 4.553223
2025-08-31 23:16:40.575, -0.078125, 4.743652
2025-08-31 23:16:40.775, -0.415039, 4.863281
2025-08-31 23:16:40.975, -0.637207, 4.704590
2025-08-31 23:16:41.175, -0.556641, 4.584961
2025-08-31 23:16:41.375, -0.068359, 4.794922
2025-08-31 23:16:41.575, -0.009766, 4.924316
2025-08-31 23:16:41.775, -0.537109, 4.504395
2025-08-31 23:16:41.975, -0.317383, 4.863281
2025-08-31 23:16:42.175, -0.756836, 4.504395
2025-08-31 23:16:42.375, -0.705566, 4.753418
2025-08-31 23:16:42.575, 0.180664, 4.963379
2025-08-31 23:16:42.775, 0.131836, 4.633789
2025-08-31 23:16:42.975, 0.122070, 4.724121
2025-08-31 23:16:43.175, -0.427246, 4.714355
2025-08-31 23:16:43.375, 0.122070, 4.663086
2025-08-31 23:16:43.575, -0.546875, 4.484863
2025-08-31 23:16:43.775, -0.676270, 4.624023
2025-08-31 23:16:43.975, -0.109863, 4.814453
2025-08-31 23:16:44.175, 0.012207, 4.604492
2025-08-31 23:16:44.375, 0.051270, 4.653320
2025-08-31 23:16:44.575, -0.097656, 4.953613
2025-08-31 23:16:44.775, -0.317383, 4.853516
2025-08-31 23:16:44.975, -0.097656, 4.753418
2025-08-31 23:16:45.175, -0.734863, 4.594727
2025-08-31 23:16:45.375, -0.537109, 4.633789
2025-08-31 23:16:45.575, -0.786133, 4.624023
2025-08-31 23:16:45.775, -0.158691, 4.694824
2025-08-31 23:16:45.975, -0.129395, 4.514160
2025-08-31 23:16:46.175, -0.515137, 4.873047
2025-08-31 23:16:46.375, 0.100098, 4.565430
2025-08-31 23:16:46.575, -0.605469, 4.653320
2025-08-31 23:16:46.775, -0.786133, 4.963379
2025-08-31 23:16:46.975, -0.725098, 4.714355
2025-08-31 23:16:47.175, -0.656738, 4.924316
2025-08-31 23:16:47.375, -0.019531, 4.685059
2025-08-31 23:16:47.575, -0.505371, 4.553223
2025-08-31 23:16:47.775, -0.405273, 4.775391
2025-08-31 23:16:47.975, -0.476074, 4.824219
2025-08-31 23:16:48.175, -0.019531, 4.633789
2025-08-31 23:16:48.375, -0.307617, 4.604492
2025-08-31 23:16:48.575, 0.100098, 4.624023
2025-08-31 23:16:48.775, 0.041504, 4.714355
2025-08-31 23:16:48.975, -0.268555, 4.685059
2025-08-31 23:16:49.175, 0.100098, 4.982910
2025-08-31 23:16:49.375, -0.109863, 4.833984
2025-08-31 23:16:49.575, 0.051270, 4.743652
2025-08-31 23:16:49.775, -0.258789, 4.924316
2025-08-31 23:16:49.975, -0.119629, 4.895020
2025-08-31 23:16:50.175, 0.122070, 4.895020
2025-08-31 23:16:50.375, -0.139160, 4.982910
2025-08-31 23:16:50.575, -0.307617, 4.653320
2025-08-31 23:16:50.775, -0.466309, 4.514160
2025-08-31 23:16:50.975, -0.029297, 4.584961
2025-08-31 23:16:51.175, -0.695801, 4.504395
2025-08-31 23:16:51.375, -0.734863, 4.694824
2025-08-31 23:16:51.575, -0.427246, 4.824219
2025-08-31 23:16:51.775, -0.786133, 4.982910
2025-08-31 23:16:51.975, -0.427246, 4.743652
2025-08-31 23:16:52.175, -0.178223, 4.653320
2025-08-31 23:16:52.375, -0.019531, 4.653320
2025-08-31 23:16:52.575, -0.168457, 4.775391
2025-08-31 23:16:52.775, -0.505371, 4.553223
2025-08-31 23:16:52.975, 0.141602, 4.663086
2025-08-31 23:16:53.175, -0.725098, 4.794922
2025-08-31 23:16:53.375, -0.356445, 4.714355
2025-08-31 23:16:53.575, -0.288086, 4.733887
2025-08-31 23:16:53.775, -0.346680, 4.663086
